chrom,start,end,length,mean_total_read_count,mean_methylation_level,num_cpg_sites,num_cpg_sites_per_bp,sample
chr4,179368508,179368684,176,30.0,0.9244999999999999,2,0.011363636363636364,200081
chr4,183584100,183584118,18,36.0,0.725,2,0.1111111111111111,200081
chr5,1586379,1586750,371,28.0,0.9472857142857143,28,0.07547169811320754,200081
chr5,122152273,122153426,1153,36.4,0.8764,10,0.008673026886383347,200081
chr5,180412808,180413787,979,28.227272727272727,0.9273181818181819,22,0.02247191011235955,200081
chr6,1728291,1731263,2972,38.628571428571426,0.9515142857142856,35,0.011776581426648721,200081
chr6,46066988,46071317,4329,45.36363636363637,0.928409090909091,22,0.005082005082005082,200081
chr6,125961458,125988766,27308,38.130801687763714,0.652848101265822,237,0.00867877545041746,200081
chr6,135270253,135302445,32192,40.47292418772563,0.8233321299638989,277,0.008604622266401591,200081
chr6,165468261,165478405,10144,33.84057971014493,0.8805362318840582,69,0.00680205047318612,200081
chr7,8239535,8242284,2749,43.607142857142854,0.8931071428571428,28,0.01018552200800291,200081
chr7,31976739,31976778,39,35.0,0.9550000000000001,1,0.02564102564102564,200081
chr7,89449796,89450311,515,30.8,0.8336,5,0.009708737864077669,200081
chr7,97883652,97883772,120,34.0,0.9187272727272725,11,0.09166666666666666,200081
chr7,130331011,130331390,379,39.333333333333336,0.9363333333333334,6,0.0158311345646438,200081
chr7,131115848,131115892,44,45.0,0.6829999999999999,1,0.022727272727272728,200081
chr8,93381756,93384200,2444,34.25,0.79725,12,0.004909983633387889,200081
chr8,117841589,117846706,5117,32.266666666666666,0.8527000000000001,30,0.00586281024037522,200081
chr8,125404677,125435441,30764,30.929521276595743,0.5731781914893606,752,0.024444155506436093,200081
chr8,134295304,134296605,1301,43.833333333333336,0.94125,12,0.009223674096848577,200081
chr9,3763388,3764399,1011,31.0,0.515,1,0.0009891196834817012,200081
chr9,12299835,12300381,546,27.0,0.9055,2,0.003663003663003663,200081
chr9,33589015,33589126,111,42.5,0.7305,2,0.018018018018018018,200081
chr9,41212993,41229650,16657,17.927419354838708,0.7928387096774191,248,0.014888635408536952,200081
chr9,107474807,107476092,1285,24.733333333333334,0.910666666666667,15,0.011673151750972763,200081
chr10,15847372,15855394,8022,42.625,0.9118125,64,0.007978060334081277,200081
chr10,27769630,27774331,4701,32.04545454545455,0.7483181818181819,22,0.004679855349925548,200081
chr10,85528817,85530871,2054,46.357142857142854,0.9141428571428571,14,0.006815968841285297,200081
chr10,126171300,126172031,731,47.25,0.7887500000000001,8,0.01094391244870041,200081
chr10,126172523,126173529,1006,43.0,0.8882727272727273,11,0.010934393638170975,200081
chr10,129444617,129447760,3143,42.94285714285714,0.9087999999999999,35,0.011135857461024499,200081
chr10,129906959,129907166,207,28.666666666666668,0.7913333333333333,3,0.014492753623188406,200081
chr11,44708838,44715487,6649,38.278688524590166,0.8105409836065574,61,0.009174311926605505,200081
chr11,70242900,70292603,49703,27.343909928352097,0.7452579324462636,977,0.019656761161298112,200081
chr11,110298617,110298664,47,32.0,0.946,1,0.02127659574468085,200081
chr12,2430788,2431028,240,36.0,0.945,3,0.0125,200081
chr12,3567850,3574875,7025,40.84126984126984,0.843793650793651,63,0.00896797153024911,200081
chr12,16283449,16342327,58878,36.35162094763092,0.8649052369077306,401,0.0068106932980060465,200081
chr12,50260191,50263812,3621,25.307692307692307,0.8380512820512818,39,0.010770505385252692,200081
chr12,98124821,98126795,1974,39.46666666666667,0.6532000000000001,15,0.007598784194528876,200081
chr12,115746568,115748684,2116,28.894736842105264,0.849,19,0.008979206049149339,200081
chr12,128449798,128450404,606,41.75,0.5389999999999999,4,0.006600660066006601,200081
chr13,20444463,20444541,78,37.333333333333336,0.9440000000000001,3,0.038461538461538464,200081
chr13,113260879,113261344,465,37.0,0.8418571428571429,14,0.030107526881720432,200081
chr14,27792529,27795688,3159,48.148148148148145,0.8753333333333333,27,0.008547008547008548,200081
chr14,76600970,76609864,8894,30.147058823529413,0.867941176470588,102,0.011468405666741623,200081
chr15,58452148,58452240,92,39.0,0.798,1,0.010869565217391304,200081
chr15,81011790,81012334,544,35.0,0.9676666666666666,3,0.0055147058823529415,200081
chr15,91547602,91548177,575,25.5,0.919,4,0.006956521739130435,200081
chr15,96743004,96744174,1170,43.125,0.8178750000000002,8,0.006837606837606838,200081
chr16,5590539,5593195,2656,34.62068965517241,0.8764482758620693,58,0.021837349397590362,200081
chr16,6528601,6530753,2152,41.294117647058826,0.8775294117647058,17,0.007899628252788104,200081
chr16,57478751,57479163,412,41.7,0.33530000000000004,10,0.024271844660194174,200081
chr17,57207106,57211012,3906,44.46666666666667,0.9084000000000001,15,0.0038402457757296467,200081
chr17,78358044,78358387,343,35.0,0.879875,8,0.023323615160349854,200081
chr17,79303342,79303356,14,34.0,0.788,1,0.07142857142857142,200081
chr17,79915725,79915877,152,20.0,0.7680000000000001,3,0.019736842105263157,200081
chr18,3954990,3955079,89,41.0,0.9403333333333334,3,0.033707865168539325,200081
chr18,77398403,77398579,176,36.0,0.95475,8,0.045454545454545456,200081
chr19,4242507,4243227,720,21.833333333333332,0.8880833333333334,12,0.016666666666666666,200081
chr19,17678966,17679088,122,31.0,0.9209999999999999,1,0.00819672131147541,200081
chr19,48255487,48255547,60,28.0,0.044000000000000004,1,0.016666666666666666,200081
chr20,1044614,1047702,3088,38.65,0.7837499999999998,20,0.006476683937823834,200081
chr20,17903495,17903726,231,36.0,0.9059999999999999,11,0.047619047619047616,200081
chr20,44965136,44967226,2090,47.71084337349398,0.12902409638554216,83,0.03971291866028708,200081
chr20,50221253,50222981,1728,40.60606060606061,0.3729696969696969,33,0.019097222222222224,200081
chr20,56875032,56875294,262,38.75,0.6255,4,0.015267175572519083,200081
chr21,6848453,6848470,17,33.0,0.642,1,0.058823529411764705,200081
chr21,9371248,9547235,175987,29.217105263157894,0.7497434210526317,152,0.0008637001596708848,200081
chr21,10735521,12998680,2263159,169.4375,0.6007065217391298,1104,0.000487813715253767,200081
chr21,16350869,16353215,2346,33.44444444444444,0.9281111111111111,18,0.0076726342710997444,200081
chr21,35007750,35010844,3094,32.48275862068966,0.7818620689655174,29,0.009372979961215255,200081
chr21,42135551,42136580,1029,31.96,0.8169600000000002,25,0.024295432458697766,200081
chr22,17253528,17253536,8,34.0,0.9670000000000001,2,0.25,200081
chr22,20982976,20983035,59,32.0,0.9125,2,0.03389830508474576,200081
chr22,22704047,22704658,611,42.4,0.9162000000000001,5,0.008183306055646482,200081
chr22,22937276,22938669,1393,45.5,0.8699999999999999,8,0.00574300071787509,200081
chrX,22792370,22794721,2351,28.791666666666668,0.8301250000000001,24,0.010208421948107189,200081
